ORIGEN,DESTINO,weight
010.000.5621.00.00,010.000.6007.00.00,5
010.000.5621.00.00,010.000.6007.01.00,31659
010.000.5621.00.00,010.000.6008.00.00,12
010.000.5621.00.00,010.000.6009.00.00,14
010.000.5621.00.00,010.000.6275.00.00,1
010.000.5621.00.00,010.000.6337.00.00,1
010.000.5621.00.00,010.000.6337.01.00,20
010.000.5621.00.00,010.000.6339.00.00,1
010.000.5744.00.00,010.000.4158.00.00,1
010.000.5744.00.00,010.000.6007.01.00,1
010.000.6007.00.00,010.000.5703.01.00,2
010.000.6007.00.00,010.000.5741.00.00,10
010.000.6007.00.00,010.000.1042.00.00,8
010.000.6007.00.00,010.000.1050.01.02,10
010.000.6007.00.00,010.000.1051.01.00,3
010.000.6007.00.00,010.000.4148.01.00,2
010.000.6007.00.00,010.000.4149.00.00,2
010.000.6007.00.00,010.000.4152.01.00,2
010.000.6007.00.00,010.000.4158.00.00,16
010.000.6007.00.00,010.000.5165.00.00,38
010.000.6007.00.00,010.000.5621.00.00,5
010.000.6007.00.00,010.000.6007.01.00,2
010.000.6007.01.00,010.000.5700.00.00,2
010.000.6007.01.00,010.000.5701.00.00,1
010.000.6007.01.00,010.000.5702.00.00,3
010.000.6007.01.00,010.000.5703.00.00,18
010.000.6007.01.00,010.000.5703.01.00,27637
010.000.6007.01.00,010.000.5704.00.00,2
010.000.6007.01.00,010.000.5705.00.00,4
010.000.6007.01.00,010.000.5740.00.00,28
010.000.6007.01.00,010.000.5741.00.00,36653
010.000.6007.01.00,010.000.5742.00.00,5
010.000.6007.01.00,010.000.6273.00.00,1
010.000.6007.01.00,010.000.6274.00.00,4
010.000.6007.01.00,010.000.6340.00.00,1
010.000.6007.01.00,010.000.1042.00.00,20245
010.000.6007.01.00,010.000.1050.01.02,40272
010.000.6007.01.00,010.000.1051.00.00,11
010.000.6007.01.00,010.000.1051.01.00,9407
010.000.6007.01.00,010.000.4148.00.02,1
010.000.6007.01.00,010.000.4148.01.00,12824
010.000.6007.01.00,010.000.4149.00.00,19287
010.000.6007.01.00,010.000.4152.00.00,5
010.000.6007.01.00,010.000.4152.01.00,11914
010.000.6007.01.00,010.000.4153.00.00,17
010.000.6007.01.00,010.000.4156.00.00,1
010.000.6007.01.00,010.000.4158.00.00,73905
010.000.6007.01.00,010.000.4162.00.00,5370
010.000.6007.01.00,010.000.4165.00.00,5
010.000.6007.01.00,010.000.4168.00.00,1
010.000.6007.01.00,010.000.5165.00.00,147877
010.000.6007.01.00,010.000.5166.00.00,1165
010.000.6007.01.00,010.000.5620.00.00,5
010.000.6007.01.00,010.000.5621.00.00,31659
010.000.6007.01.00,010.000.5744.00.00,1
010.000.6007.01.00,010.000.6007.00.00,2
010.000.6007.01.00,010.000.6008.00.00,20
010.000.6007.01.00,010.000.6009.00.00,8
010.000.6007.01.00,010.000.6123.00.00,2
010.000.6007.01.00,010.000.6275.00.00,1
010.000.6007.01.00,010.000.6316.00.00,4
010.000.6007.01.00,010.000.6337.01.00,64
010.000.6007.01.00,010.000.6339.00.00,4
010.000.6008.00.00,010.000.5700.00.00,1
010.000.6008.00.00,010.000.5703.01.00,4
010.000.6008.00.00,010.000.5741.00.00,24
010.000.6008.00.00,010.000.1042.00.00,4
010.000.6008.00.00,010.000.1050.01.02,23
010.000.6008.00.00,010.000.4148.01.00,13
010.000.6008.00.00,010.000.4149.00.00,17
010.000.6008.00.00,010.000.4152.01.00,7
010.000.6008.00.00,010.000.4158.00.00,48
010.000.6008.00.00,010.000.4162.00.00,8
010.000.6008.00.00,010.000.5165.00.00,49
010.000.6008.00.00,010.000.5621.00.00,12
010.000.6008.00.00,010.000.6007.01.00,20
010.000.6008.00.00,010.000.6009.00.00,1
010.000.6009.00.00,010.000.5703.01.00,1
010.000.6009.00.00,010.000.5741.00.00,14
010.000.6009.00.00,010.000.1042.00.00,1
010.000.6009.00.00,010.000.1050.01.02,6
010.000.6009.00.00,010.000.4148.01.00,3
010.000.6009.00.00,010.000.4149.00.00,8
010.000.6009.00.00,010.000.4152.01.00,4
010.000.6009.00.00,010.000.4158.00.00,33
010.000.6009.00.00,010.000.4162.00.00,6
010.000.6009.00.00,010.000.5165.00.00,25
010.000.6009.00.00,010.000.5621.00.00,14
010.000.6009.00.00,010.000.6007.01.00,8
010.000.6009.00.00,010.000.6008.00.00,1
010.000.6123.00.00,010.000.4149.00.00,1
010.000.6123.00.00,010.000.5165.00.00,2
010.000.6123.00.00,010.000.6007.01.00,2
010.000.6181.00.00,010.000.4158.00.00,1
010.000.6275.00.00,010.000.1042.00.00,3
010.000.6275.00.00,010.000.1050.01.02,3
010.000.6275.00.00,010.000.4148.01.00,1
010.000.6275.00.00,010.000.4158.00.00,3
010.000.6275.00.00,010.000.4162.00.00,2
010.000.6275.00.00,010.000.5165.00.00,5
010.000.6275.00.00,010.000.5621.00.00,1
010.000.6275.00.00,010.000.6007.01.00,1
010.000.6316.00.00,010.000.5703.01.00,1
010.000.6316.00.00,010.000.4148.01.00,1
010.000.6316.00.00,010.000.4149.00.00,1
010.000.6316.00.00,010.000.4158.00.00,2
010.000.6316.00.00,010.000.4162.00.00,5
010.000.6316.00.00,010.000.5165.00.00,2
010.000.6316.00.00,010.000.6007.01.00,4
010.000.6337.00.00,010.000.5703.01.00,2
010.000.6337.00.00,010.000.4149.00.00,1
010.000.6337.00.00,010.000.4158.00.00,1
010.000.6337.00.00,010.000.5165.00.00,4
010.000.6337.00.00,010.000.5621.00.00,1
010.000.6337.01.00,010.000.5703.01.00,11
010.000.6337.01.00,010.000.5741.00.00,47
010.000.6337.01.00,010.000.1042.00.00,24
010.000.6337.01.00,010.000.1050.01.02,17
010.000.6337.01.00,010.000.1051.01.00,1
010.000.6337.01.00,010.000.4148.01.00,6
010.000.6337.01.00,010.000.4149.00.00,52
010.000.6337.01.00,010.000.4152.01.00,17
010.000.6337.01.00,010.000.4158.00.00,37
010.000.6337.01.00,010.000.4162.00.00,3
010.000.6337.01.00,010.000.5165.00.00,240
010.000.6337.01.00,010.000.5166.00.00,4
010.000.6337.01.00,010.000.5621.00.00,20
010.000.6337.01.00,010.000.6007.01.00,64
010.000.6339.00.00,010.000.5741.00.00,1
010.000.6339.00.00,010.000.1042.00.00,1
010.000.6339.00.00,010.000.4148.01.00,1
010.000.6339.00.00,010.000.4149.00.00,2
010.000.6339.00.00,010.000.4158.00.00,3
010.000.6339.00.00,010.000.4162.00.00,1
010.000.6339.00.00,010.000.5165.00.00,1
010.000.6339.00.00,010.000.5621.00.00,1
010.000.6339.00.00,010.000.6007.01.00,4
